PC7Z723L1F|1|2020-11-10 12:50:00|a|KODIAK TANDEM|TRUE|CHEVROLET|Carga|18,9|7500|Diesel|||Toneladas|Mecanica|KODIAK
2|1|2020-11-10 12:50:00|a|ALLEGRO SEDAN 1,3|TRUE|MAZDA|Mini|5|1300|Gasolina|||Pasajeros|Mecanica|ALLEGRO
3|1|2020-11-10 12:50:00|a|RANGER XL ESTACAS|TRUE|FORD|Mini|0|2200|Gasolina|||Pasajeros|Mecanica|RANGER
4|1|2020-11-10 12:50:00|a|ALLEGRO SEDAN 1,6|TRUE|MAZDA|Mini|0|1600|Gasolina|||Pasajeros|Mecanica|ALLEGRO
11CKTR416CHC9|1|2020-11-10 12:50:00|a|AVEO 1,6 5P C-A|TRUE|CHEVROLET|Small|5|1600|Gasolina|||Pasajeros|Mecanica|AVEO
6|1|2020-11-10 12:50:00|a|MONTERO V6 3,0|TRUE|MITSUBISHI|Mini|0|3000|Gasolina|||Pasajeros|Mecanica|MONTERO
SJ41F|1|2020-11-10 12:50:00|a|SAMURAI HARD TOP|TRUE|CHEVROLET|Utilitarios|0|1300|Gasolina|||Pasajeros|Mecanica|SAMURAI
VC7Z672OBC1|1|2020-11-10 12:50:00|a|KODIAK 8500|TRUE|CHEVROLET|Carga|0|8500|Diesel|||Toneladas|Mecanica|KODIAK
9|1|2020-11-10 12:50:00|a|ALLEGRO HB 1,3|TRUE|MAZDA|Mini|0|1300|Gasolina|||Pasajeros|Mecanica|ALLEGRO
10|1|2020-11-10 12:50:00|a|ALLEGRO HB 1,6|TRUE|MAZDA|Mini|0|1600|Gasolina|||Pasajeros|Mecanica|ALLEGRO
